id,title,release_date,recent_reviews,all_reviews,price,developers,number_languages,compatible_os,tags
1049800,BLOCKADE,"5 Nov, 2014","['74', '263', '30']","['74', '9,049']",[],['Novalink'],2,1,"['FreetoPlay', 'Action', 'FPS', 'Shooter', 'Multiplayer', 'MassivelyMultiplayer', 'PixelGraphics', 'Indie', 'First-Person', 'Zombies', 'Co-op', 'Building', 'EarlyAccess', 'PsychologicalHorror', 'Team-Based', 'Survival', 'Casual', 'Gore', 'Horror', 'OpenWorld']"
273840,Stock Car Extreme,"11 Feb, 2015","['83', '373']","['83', '373']","['14,99']",['Reiza Studios'],5,1,"['Racing', 'AutomobileSim', 'Simulation', 'Sports', 'Multiplayer', 'Realistic']"
1221590,Formula Car Racing Simulator,"22 Jan, 2020","['86', '23']","['86', '23']","['0,79']",['Enaayah Software Development and Services Private Limited'],1,3,"['Racing', 'Action', 'Indie', 'Sports', 'CharacterCustomization', 'Simulation', 'Adventure']"
496260,Corona Blossom Vol.1 Gift From the Galaxy,"27 Jul, 2016","['96', '238']","['96', '238']","['9,99']",['Frontwing'],3,1,"['VisualNovel', 'Anime', 'Nudity', 'Casual', 'SexualContent', 'Cute', 'Adventure', 'Singleplayer', 'Mature', 'DatingSim', 'Romance', 'Sci-fi', 'Comedy', 'Emotional', 'Funny', 'Mechs', 'Robots', 'FemaleProtagonist', 'Space', 'StoryRich']"
396870,Catyph: The Kunci Experiment,"11 May, 2016","['68', '19']",,[],['Simon Says: Play!'],2,1,"['Adventure', 'Indie', 'Point&Click', 'Exploration', 'First-Person', 'Singleplayer', 'Sci-fi', 'Space', 'StoryRich', 'Puzzle', 'Atmospheric', 'Mystery', 'Difficult', 'HiddenObject', 'Solitaire', 'Logic', 'Science', 'Lore-Rich', 'OldSchool', 'MultipleEndings']"
631900,Airtone,"8 Jun, 2017","['94', '195']","['94', '195']","['27,99']",['historia Inc'],5,1,"['Action', 'Adventure', 'VR', 'Rhythm', 'Anime', 'Music']"
107300,Breath of Death VII,"13 Jul, 2011","['83', '1,147']","['83', '1,147']","['1,99']",['Zeboyd Games'],1,1,"['JRPG', 'RPG', 'Indie', 'Funny', 'Retro', 'Comedy', 'PixelGraphics', 'Singleplayer', 'Turn-Based', 'Parody', 'Short', '2D', 'Fantasy', 'Adventure', 'OldSchool', 'Horror']"
1577320,Somewhere in the Shadow,"23 Aug, 2021","['91', '35', '30']","['83', '263']","['2,39']","['Alexander Simashkevich', 'Nikolay Kulesh']",1,1,"['Horror', 'OnlineCo-Op', 'Co-op', 'Adventure', 'Multiplayer', 'SurvivalHorror', 'ArtificialIntelligence', 'Puzzle', 'Exploration', 'Violent', 'Action-Adventure', 'Indie', 'MassivelyMultiplayer', 'First-Person', 'MysteryDungeon', 'Mystery', 'Team-Based', 'Singleplayer']"
12690,Hunting Unlimited 2010,"7 Jul, 2009","['82', '188']","['82', '188']","['9,99']",['SCS Software'],1,1,"['Simulation', 'Sports', 'Hunting', 'America']"
789830,[TDA03] Muv-Luv Unlimited: THE DAY AFTER - Episode 03 REMASTERED,"29 Jan, 2021","['97', '34']","['97', '34']","['20,99']","['aNCHOR Inc.', 'fuzz, Inc.']",2,1,"['Adventure', 'Casual', 'VisualNovel', 'Anime', 'StoryRich', 'Singleplayer', 'Drama', 'SexualContent', 'Nudity', 'Military', 'Gore', 'Violent', 'Survival', 'War']"
